Type,RIC,WC06001,GEOGN,WC18272,WC18273,WC07021,ICBIC,ICBIN,WC07536,ESG_2015,ESG_2016,ESG_2017,ESG_2018,ESG_2019,ESG_2020,ESG_2021,ESG_2022,ESG_2023,ESG_2024,ESG_2025
D:SIE,SIEGn.F,SIEMENS AG,GERMANY,1847,1977,3699,50,Industrials,IFRS,83.52,82.46,83.32,83.21,84.46,86.0,85.04,84.75,83.06,80.51,80.79
D:SAP,SAPG.F,SAP SE,GERMANY,1972,2014,7372,10,Technology,IFRS,90.55,91.56,93.67,93.47,94.2,94.49,93.79,89.77,88.39,86.99,86.59
D:ENR,ENR1n.F,SIEMENS ENERGY AG,GERMANY,,,3511,60,Energy,IFRS,,,,,,77.61,73.33,77.84,75.91,71.59,66.88
D:ALV,ALVG.F,ALLIANZ SE,GERMANY,1890,2007,6311,30,Financials,IFRS,88.46,86.65,86.17,94.8,93.78,93.47,91.29,88.88,87.66,86.68,86.8
D:DTE,DTEGn.F,DEUTSCHE TELEKOM AG,GERMANY,1995,1995,4812,15,Telecommunications,IFRS,78.63,79.4,77.24,80.88,83.73,87.66,86.06,82.9,80.99,82.57,83.36
D:IFX,IFXGn.F,INFINEON TECHNOLOGIES AG,GERMANY,1999,1999,3674,10,Technology,IFRS,80.02,82.99,78.09,77.22,76.3,80.96,80.17,76.2,76.43,76.91,80.19
D:MUV2,MUVGn.F,MUENCHENER RUECKVERSICHERUNGS-GESELLSCHAFT IN MUENCHEN AG,GERMANY,1880,1880,6311,30,Financials,IFRS,69.87,69.96,86.1,86.76,85.79,89.1,86.66,88.26,86.41,76.2,76.32
D:RHM,RHMG.F,RHEINMETALL AG,GERMANY,1889,2001,3714,50,Industrials,IFRS,45.66,43.89,40.03,42.53,70.8,77.7,77.26,85.61,84.37,86.85,
D:BAS,BASFn.F,BASF SE,GERMANY,1865,1952,2821,55,Basic Materials,IFRS,87.9,83.78,84.29,90.37,90.32,92.06,90.57,89.85,88.97,87.34,87.6
D:DBK,DBKGn.F,DEUTSCHE BANK AKTIENGESELLSCHAFT,GERMANY,1870,1870,6029,30,Financials,IFRS,76.73,76.97,80.09,81.53,85.41,85.96,78.9,82.29,81.35,78.07,76.45
D:DHL,DHLn.F,DEUTSCHE POST AG,GERMANY,1995,1995,4311,50,Industrials,IFRS,80.36,82.87,79.5,80.64,86.35,84.57,82.51,73.9,74.46,77.59,75.69
D:EOAN,EONGn.F,E.ON SE,GERMANY,1916,1920,4911,65,Utilities,IFRS,78.35,77.42,67.77,74.89,74.81,67.9,68.5,69.31,64.84,67.16,67.92
D:BMW,BMWG.F,BAYERISCHE MOTOREN WERKE AKTIENGESELLSCHAFT,GERMANY,1916,1916,3711,40,Consumer Discretionary,IFRS,85.84,87.1,83.53,83.27,87.6,86.56,90.18,92.77,89.69,87.7,88.99
D:MBG,MBGn.F,MERCEDES-BENZ GROUP AG,GERMANY,1998,1998,3711,40,Consumer Discretionary,IFRS,93.03,92.21,90.96,93.62,92.72,93.0,91.43,90.62,89.71,82.42,82.88
D:DB1,DB1Gn.F,DEUTSCHE BOERSE AG,GERMANY,1990,1993,6231,30,Financials,IFRS,69.32,72.19,72.78,74.05,75.01,76.84,74.92,69.7,66.77,67.57,69.93
D:RWE,RWEG.F,RWE AG,GERMANY,1898,1898,4911,65,Utilities,IFRS,70.92,72.22,71.56,68.71,66.25,69.3,70.25,64.18,65.64,60.75,58.0
D:SHL,SHLG.F,SIEMENS HEALTHINEERS AG,GERMANY,,,3845,20,Health Care,IFRS,,,,75.61,77.18,75.03,76.12,77.05,71.27,64.54,65.75
D:VOW,VOWG.F,VOLKSWAGEN AG,GERMANY,1937,1961,3711,40,Consumer Discretionary,IFRS,80.18,79.92,80.83,82.37,86.66,87.96,81.24,82.34,81.39,82.25,
D:BAYN,BAYGn.F,BAYER AG,GERMANY,1863,1951,2834,20,Health Care,IFRS,74.95,82.92,88.96,89.61,89.81,91.73,92.72,92.69,91.78,89.87,88.66
D:CBK,CBKG.F,COMMERZBANK AKTIENGESELLSCHAFT,GERMANY,1870,1870,6029,30,Financials,IFRS,62.79,69.59,78.53,73.69,76.1,80.98,78.93,77.41,75.81,65.09,64.02
D:ADS,ADSGn.F,ADIDAS AG,GERMANY,1920,1949,3149,40,Consumer Discretionary,IFRS,93.5,88.42,84.51,85.26,89.32,87.96,89.49,88.52,89.68,83.25,83.31
D:HOT,HOTG.F,HOCHTIEF AG,GERMANY,1875,2001,1611,50,Industrials,IFRS,81.48,89.15,86.03,84.59,84.3,86.81,89.16,84.48,85.76,78.79,77.67
D:DTG,DTGGe.F,DAIMLER TRUCK HOLDING AG,GERMANY,,2021,3711,50,Industrials,IFRS,,,,,,,83.54,85.12,83.33,82.98,85.65
D:HNR1,HNRGn.F,HANNOVER RUECK SE,GERMANY,1966,2006,6311,30,Financials,IFRS,71.72,60.34,60.29,63.2,58.05,67.68,71.46,68.18,65.41,57.3,59.05
D:HEI,HEIG.F,HEIDELBERG MATERIALS AG,GERMANY,1873,1889,3241,50,Industrials,IFRS,79.58,80.55,78.03,79.08,75.88,30.55,82.61,82.25,82.15,82.52,82.56
D:TLX,TLXGn.F,TALANX AG,GERMANY,,,6311,30,Financials,IFRS,,,,,52.78,67.05,83.29,80.42,75.67,71.71,72.33
D:FRE,FREG.F,FRESENIUS SE & CO KGAA,GERMANY,1912,2011,8092,20,Health Care,IFRS,46.48,43.91,64.56,75.12,78.65,82.77,79.02,73.48,73.69,73.73,74.62
