Name,Symbol,RIC,Start Date,Hist.,Category,Exchange,Market,Currency,Sector,Full Name,Activity
LVMH,F:LVMH,LVMH.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,Personal Goods,LVMH,Active
L'OREAL,F:OR@F,OREP.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,Personal Goods,l'Oreal,Active
TOTALENERGIES,F:FP,TTEF.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,"Oil, Gas and Coal",Totalenergies,Active
HERMES INTL.,F:RMS,HRMS.PA,3061993,1993,Equities,Euronext.liffe Paris,France,Euro,Personal Goods,Hermes International,Active
SCHNEIDER ELECTRIC,F:QT@F,SCHN.PA,18091981,1981,Equities,Euronext.liffe Paris,France,Euro,Electronic and Electrical Equipment,Schneider Electric,Active
AIRBUS,F:AIRS,AIR.PA,10072000,2000,Equities,Euronext.liffe Paris,France,Euro,Aerospace and Defense,Airbus,Active
NOVO NORDISK 'B',DK:NON,NOVOb.CO,14051974,1974,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Pharmaceuticals and Biotechnology,Novo Nordisk 'B',Active
ANHEUSER-BUSCH INBEV,B:ABI,ABI.BR,30112000,2000,Equities,Euronext.liffe Brussels,Belgium,Euro,Beverages,Anheuser-Busch Inbev,Active
SAFRAN,F:SGM,SAF.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,Aerospace and Defense,Safran,Active
BNP PARIBAS,F:BNP,BNPP.PA,18101993,1993,Equities,Euronext.liffe Paris,France,Euro,Banks,Banque Nationale de Paris Paribas,Active
SANOFI,F:SQ@F,SASY.PA,21071980,1980,Equities,Euronext.liffe Paris,France,Euro,Pharmaceuticals and Biotechnology,Sanofi,Active
L AIR LQE.SC.ANYME. POUR L ETUDE ET L EPXTN.,F:AIR,AIRP.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,Chemicals,L Air LQE Societe Anonyme Pour L Etude et L Epxtn,Active
AXA,F:MIDI,AXAF.PA,27091977,1977,Equities,Euronext.liffe Paris,France,Euro,Non-life Insurance,AXA,Active
ESSILORLUXOTTICA,F:EI,ESLX.PA,28101975,1975,Equities,Euronext.liffe Paris,France,Euro,Medical Equipment and Services,Essilorluxottica,Active
ENGIE,F:ENGI,ENGIE.PA,7072005,2005,Equities,Euronext.liffe Paris,France,Euro,"Gas, Water and Multi-utilities",Engie,Active
VINCI,F:DG@F,SGEF.PA,18041989,1989,Equities,Euronext.liffe Paris,France,Euro,Construction and Materials,Vinci,Active
CHRISTIAN DIOR,F:CDI,DIOR.PA,4121991,1991,Equities,Euronext.liffe Paris,France,Euro,Personal Goods,Christian Dior,Active
NOKIA,M:NOK1,NOKIA.HE,25031988,1988,Equities,Helsinki,Finland,Euro,Telecommunications Equipment,Nokia,Active
NORDEA BANK,M:NBH,NDAFI.HE,31012000,2000,Equities,Helsinki,Finland,Euro,Banks,Nordea Bank,Active
STMICROELECTRONICS,F:STM,STMPA.PA,8121994,1994,Equities,Euronext.liffe Paris,France,Euro,Technology Hardware and Equipment,Stmicroelectronics,Active
SOCIETE GENERALE,F:SGE,SOGN.PA,8071987,1987,Equities,Euronext.liffe Paris,France,Euro,Banks,Societe Generale,Active
CREDIT AGRICOLE,F:CRDA,CAGR.PA,13122001,2001,Equities,Euronext.liffe Paris,France,Euro,Banks,Credit Agricole,Active
THALES,F:CSF,TCFP.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,Aerospace and Defense,Thales,Active
DANONE,F:BSN,DANO.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,Food Producers,Danone,Active
DSV,DK:DSV,DSV.CO,5041988,1988,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Industrial Transportation,DSV,Active
ORANGE,F:ORA,ORAN.PA,17101997,1997,Equities,Euronext.liffe Paris,France,Euro,Telecommunications Service Providers,Orange,Active
KBC GROUP,B:KB,KBC.BR,1011973,1973,Equities,Euronext.liffe Brussels,Belgium,Euro,Banks,KBC Group,Active
UCB,B:UCB,UCB.BR,1011973,1973,Equities,Euronext.liffe Brussels,Belgium,Euro,Pharmaceuticals and Biotechnology,UCB,Active
ERSTE GROUP BANK,O:ERS,ERST.VI,4121997,1997,Equities,Vienna Stock Exchange,Austria,Euro,Banks,Erste Group Bank,Active
DANSKE BANK,DK:DAB,DANSKE.CO,1011973,1973,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Banks,Danske Bank,Active
ARGENX,B:ARGX,ARGX.BR,9072014,2014,Equities,Euronext.liffe Brussels,Belgium,Euro,Pharmaceuticals and Biotechnology,Argenx,Active
LEGRAND,F:LRRS,LEGD.PA,6042006,2006,Equities,Euronext.liffe Paris,France,Euro,Electronic and Electrical Equipment,Legrand,Active
SAINT GOBAIN,F:SGO,SGOB.PA,23121986,1986,Equities,Euronext.liffe Paris,France,Euro,Construction and Materials,Saint Gobain,Active
OERSTED,DK:DEN,ORSTED.CO,9062016,2016,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Electricity,Oersted,Active
VEOLIA ENVIRON,F:VIE,VIE.PA,18072000,2000,Equities,Euronext.liffe Paris,France,Euro,"Gas, Water and Multi-utilities",Veolia Environ,Active
DASSAULT SYSTEMES,F:DSY,DAST.PA,28061996,1996,Equities,Euronext.liffe Paris,France,Euro,Software and Computer Services,Dassault Systemes,Active
KERING,F:KER,PRTP.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,Personal Goods,Kering,Active
VESTAS WINDSYSTEMS,DK:VEW,VWS.CO,30041998,1998,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Alternative Energy,Vestas Windsystems,Active
CEZ,CZ:CEZ,CEZP.PR,2111993,1993,Equities,Prague,Czech Republic,Czech Koruna,Electricity,CEZ,Active
DASSAULT AVIATION,F:AM@F,AM.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,Aerospace and Defense,Dassault Aviation,Active
KONE B,M:KNEBV,KNEBV.HE,25031988,1988,Equities,Helsinki,Finland,Euro,Industrial Engineering,Kone B,Active
OMV,O:OMV,OMVV.VI,2121987,1987,Equities,Vienna Stock Exchange,Austria,Euro,"Oil, Gas and Coal",OMV,Active
SAMPO A,M:SAMA,SAMPO.HE,12061989,1989,Equities,Helsinki,Finland,Euro,Non-life Insurance,Sampo A,Active
RAIFFEISEN BANK INTL.,O:RAI,RBIV.VI,25042005,2005,Equities,Vienna Stock Exchange,Austria,Euro,Banks,Raiffeisen Bank International,Active
NESTE,M:NEST,NESTE.HE,18042005,2005,Equities,Helsinki,Finland,Euro,"Oil, Gas and Coal",Neste,Active
FORTUM,M:FORT,FORTUM.HE,18121998,1998,Equities,Helsinki,Finland,Euro,Electricity,Fortum,Active
MICHELIN,F:MCL,MICP.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,Automobiles and Parts,Michelin,Active
WARTSILA,M:WRT,WRT1V.HE,25031988,1988,Equities,Helsinki,Finland,Euro,Industrial Engineering,Wartsila,Active
NOVOZYMES B,DK:NZY,NSISb.CO,16112000,2000,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Pharmaceuticals and Biotechnology,Novozymes B,Active
CAPGEMINI,F:CAP,CAPP.PA,12061985,1985,Equities,Euronext.liffe Paris,France,Euro,Software and Computer Services,Capgemini,Active
BOUYGUES,F:ENT,BOUY.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,Construction and Materials,Bouygues,Active
PUBLICIS GROUPE,F:PUB,PUBP.PA,4011988,1988,Equities,Euronext.liffe Paris,France,Euro,Media,Publicis Groupe,Active
PERNOD-RICARD,F:RCD,PERP.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,Beverages,Pernod-Ricard,Active
CSG A,H:CSGA,CSG.AS,23012026,2026,Equities,Euronext.liffe Amsterdam,Czech Republic,Euro,Aerospace and Defense,CSG A,Active
UNIBAIL RODAMCO WE STAPLED UNITS,F:UBL,URW.PA,29011974,1974,Equities,Euronext.liffe Paris,France,Euro,Real Estate Investment Trusts,Unibail Rodamco We Stapled Units,Active
IPSEN,F:IPN,IPN.PA,6122005,2005,Equities,Euronext.liffe Paris,France,Euro,Pharmaceuticals and Biotechnology,Ipsen,Active
RENAULT,F:RENU,RENA.PA,17111994,1994,Equities,Euronext.liffe Paris,France,Euro,Automobiles and Parts,Renault,Active
AIR FRANCE-KLM,F:UTA,AIRF.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,Travel and Leisure,Air France-Koninklijke Luchtvaart Maatschappij,Active
AMER SPORTS,U:AS,AS,1022024,2024,Equities,NYSE,Finland,United States Dollar,Retailers,American Sports,Active
AMUNDI (WI),F:AMUN,AMUN.PA,11112015,2015,Equities,Euronext.liffe Paris,France,Euro,Investment Banking and Brokerage Services,Amundi (WI),Active
A P MOLLER MAERSK B,DK:DSB,MAERSKb.CO,1011973,1973,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Industrial Transportation,A P Moller Maersk B,Active
BAWAG GROUP,O:BWGP,BAWG.VI,25102017,2017,Equities,Vienna Stock Exchange,Austria,Euro,Banks,BAWAG Group,Active
EURONEXT,F:ENX,ENX.PA,19062014,2014,Equities,Euronext.liffe Paris,France,Euro,Investment Banking and Brokerage Services,Euronext,Active
VERBUND,O:VERB,VERB.VI,5121988,1988,Equities,Vienna Stock Exchange,Austria,Euro,Electricity,Verbund,Active
AGEAS (EX-FORTIS),B:AGS,AGES.BR,1011973,1973,Equities,Euronext.liffe Brussels,Belgium,Euro,Life Insurance,Ageas (ex-Fortis),Active
BOLLORE,F:MATI,BOLL.PA,18041989,1989,Equities,Euronext.liffe Paris,France,Euro,Media,Bollore,Active
CARLSBERG B,DK:CAB,CARLb.CO,1011973,1973,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Beverages,Carlsberg B,Active
ELIA GROUP,B:ELI,ELI.BR,20062005,2005,Equities,Euronext.liffe Brussels,Belgium,Euro,Electricity,Elia Group,Active
SARTORIUS STEDIM BIOTECH,F:DIM,STDM.PA,25101994,1994,Equities,Euronext.liffe Paris,France,Euro,Medical Equipment and Services,Sartorius Stedim Biotechnology,Active
CARREFOUR,F:CRFR,CARR.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,"Personal Care, Drug and Grocery Stores",Carrefour,Active
UPM-KYMMENE,M:UPM,UPM.HE,15011991,1991,Equities,Helsinki,Finland,Euro,Industrial Materials,UPM-Kymmene,Active
