Name,Symbol,RIC,Start Date,Hist.,Category,Exchange,Market,Currency,Sector,Full Name,Activity,CSRD_Impl
LVMH,F:LVMH,LVMH.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,Personal Goods,LVMH,Active,1.0
L'OREAL,F:OR@F,OREP.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,Personal Goods,l'Oreal,Active,1.0
TOTALENERGIES,F:FP,TTEF.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,"Oil, Gas and Coal",Totalenergies,Active,1.0
HERMES INTL.,F:RMS,HRMS.PA,3061993,1993,Equities,Euronext.liffe Paris,France,Euro,Personal Goods,Hermes International,Active,1.0
SCHNEIDER ELECTRIC,F:QT@F,SCHN.PA,18091981,1981,Equities,Euronext.liffe Paris,France,Euro,Electronic and Electrical Equipment,Schneider Electric,Active,1.0
AIRBUS,F:AIRS,AIR.PA,10072000,2000,Equities,Euronext.liffe Paris,France,Euro,Aerospace and Defense,Airbus,Active,1.0
NOVO NORDISK 'B',DK:NON,NOVOb.CO,14051974,1974,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Pharmaceuticals and Biotechnology,Novo Nordisk 'B',Active,1.0
ANHEUSER-BUSCH INBEV,B:ABI,ABI.BR,30112000,2000,Equities,Euronext.liffe Brussels,Belgium,Euro,Beverages,Anheuser-Busch Inbev,Active,0.0
SAFRAN,F:SGM,SAF.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,Aerospace and Defense,Safran,Active,1.0
BNP PARIBAS,F:BNP,BNPP.PA,18101993,1993,Equities,Euronext.liffe Paris,France,Euro,Banks,Banque Nationale de Paris Paribas,Active,1.0
SANOFI,F:SQ@F,SASY.PA,21071980,1980,Equities,Euronext.liffe Paris,France,Euro,Pharmaceuticals and Biotechnology,Sanofi,Active,1.0
L AIR LQE.SC.ANYME. POUR L ETUDE ET L EPXTN.,F:AIR,AIRP.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,Chemicals,L Air LQE Societe Anonyme Pour L Etude et L Epxtn,Active,1.0
AXA,F:MIDI,AXAF.PA,27091977,1977,Equities,Euronext.liffe Paris,France,Euro,Non-life Insurance,AXA,Active,1.0
ESSILORLUXOTTICA,F:EI,ESLX.PA,28101975,1975,Equities,Euronext.liffe Paris,France,Euro,Medical Equipment and Services,Essilorluxottica,Active,1.0
ENGIE,F:ENGI,ENGIE.PA,7072005,2005,Equities,Euronext.liffe Paris,France,Euro,"Gas, Water and Multi-utilities",Engie,Active,1.0
VINCI,F:DG@F,SGEF.PA,18041989,1989,Equities,Euronext.liffe Paris,France,Euro,Construction and Materials,Vinci,Active,1.0
CHRISTIAN DIOR,F:CDI,DIOR.PA,4121991,1991,Equities,Euronext.liffe Paris,France,Euro,Personal Goods,Christian Dior,Active,1.0
NOKIA,M:NOK1,NOKIA.HE,25031988,1988,Equities,Helsinki,Finland,Euro,Telecommunications Equipment,Nokia,Active,1.0
NORDEA BANK,M:NBH,NDAFI.HE,31012000,2000,Equities,Helsinki,Finland,Euro,Banks,Nordea Bank,Active,1.0
STMICROELECTRONICS,F:STM,STMPA.PA,8121994,1994,Equities,Euronext.liffe Paris,France,Euro,Technology Hardware and Equipment,Stmicroelectronics,Active,1.0
SOCIETE GENERALE,F:SGE,SOGN.PA,8071987,1987,Equities,Euronext.liffe Paris,France,Euro,Banks,Societe Generale,Active,1.0
CREDIT AGRICOLE,F:CRDA,CAGR.PA,13122001,2001,Equities,Euronext.liffe Paris,France,Euro,Banks,Credit Agricole,Active,1.0
THALES,F:CSF,TCFP.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,Aerospace and Defense,Thales,Active,1.0
DANONE,F:BSN,DANO.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,Food Producers,Danone,Active,1.0
DSV,DK:DSV,DSV.CO,5041988,1988,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Industrial Transportation,DSV,Active,1.0
ORANGE,F:ORA,ORAN.PA,17101997,1997,Equities,Euronext.liffe Paris,France,Euro,Telecommunications Service Providers,Orange,Active,1.0
KBC GROUP,B:KB,KBC.BR,1011973,1973,Equities,Euronext.liffe Brussels,Belgium,Euro,Banks,KBC Group,Active,0.0
UCB,B:UCB,UCB.BR,1011973,1973,Equities,Euronext.liffe Brussels,Belgium,Euro,Pharmaceuticals and Biotechnology,UCB,Active,0.0
ERSTE GROUP BANK,O:ERS,ERST.VI,4121997,1997,Equities,Vienna Stock Exchange,Austria,Euro,Banks,Erste Group Bank,Active,0.0
DANSKE BANK,DK:DAB,DANSKE.CO,1011973,1973,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Banks,Danske Bank,Active,1.0
ARGENX,B:ARGX,ARGX.BR,9072014,2014,Equities,Euronext.liffe Brussels,Belgium,Euro,Pharmaceuticals and Biotechnology,Argenx,Active,0.0
LEGRAND,F:LRRS,LEGD.PA,6042006,2006,Equities,Euronext.liffe Paris,France,Euro,Electronic and Electrical Equipment,Legrand,Active,1.0
SAINT GOBAIN,F:SGO,SGOB.PA,23121986,1986,Equities,Euronext.liffe Paris,France,Euro,Construction and Materials,Saint Gobain,Active,1.0
OERSTED,DK:DEN,ORSTED.CO,9062016,2016,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Electricity,Oersted,Active,1.0
VEOLIA ENVIRON,F:VIE,VIE.PA,18072000,2000,Equities,Euronext.liffe Paris,France,Euro,"Gas, Water and Multi-utilities",Veolia Environ,Active,1.0
DASSAULT SYSTEMES,F:DSY,DAST.PA,28061996,1996,Equities,Euronext.liffe Paris,France,Euro,Software and Computer Services,Dassault Systemes,Active,1.0
KERING,F:KER,PRTP.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,Personal Goods,Kering,Active,1.0
VESTAS WINDSYSTEMS,DK:VEW,VWS.CO,30041998,1998,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Alternative Energy,Vestas Windsystems,Active,1.0
CEZ,CZ:CEZ,CEZP.PR,2111993,1993,Equities,Prague,Czech Republic,Czech Koruna,Electricity,CEZ,Active,1.0
DASSAULT AVIATION,F:AM@F,AM.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,Aerospace and Defense,Dassault Aviation,Active,1.0
KONE B,M:KNEBV,KNEBV.HE,25031988,1988,Equities,Helsinki,Finland,Euro,Industrial Engineering,Kone B,Active,1.0
OMV,O:OMV,OMVV.VI,2121987,1987,Equities,Vienna Stock Exchange,Austria,Euro,"Oil, Gas and Coal",OMV,Active,0.0
SAMPO A,M:SAMA,SAMPO.HE,12061989,1989,Equities,Helsinki,Finland,Euro,Non-life Insurance,Sampo A,Active,1.0
RAIFFEISEN BANK INTL.,O:RAI,RBIV.VI,25042005,2005,Equities,Vienna Stock Exchange,Austria,Euro,Banks,Raiffeisen Bank International,Active,0.0
NESTE,M:NEST,NESTE.HE,18042005,2005,Equities,Helsinki,Finland,Euro,"Oil, Gas and Coal",Neste,Active,1.0
FORTUM,M:FORT,FORTUM.HE,18121998,1998,Equities,Helsinki,Finland,Euro,Electricity,Fortum,Active,1.0
MICHELIN,F:MCL,MICP.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,Automobiles and Parts,Michelin,Active,1.0
WARTSILA,M:WRT,WRT1V.HE,25031988,1988,Equities,Helsinki,Finland,Euro,Industrial Engineering,Wartsila,Active,1.0
NOVOZYMES B,DK:NZY,NSISb.CO,16112000,2000,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Pharmaceuticals and Biotechnology,Novozymes B,Active,1.0
CAPGEMINI,F:CAP,CAPP.PA,12061985,1985,Equities,Euronext.liffe Paris,France,Euro,Software and Computer Services,Capgemini,Active,1.0
BOUYGUES,F:ENT,BOUY.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,Construction and Materials,Bouygues,Active,1.0
PUBLICIS GROUPE,F:PUB,PUBP.PA,4011988,1988,Equities,Euronext.liffe Paris,France,Euro,Media,Publicis Groupe,Active,1.0
PERNOD-RICARD,F:RCD,PERP.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,Beverages,Pernod-Ricard,Active,1.0
CSG A,H:CSGA,CSG.AS,23012026,2026,Equities,Euronext.liffe Amsterdam,Czech Republic,Euro,Aerospace and Defense,CSG A,Active,1.0
UNIBAIL RODAMCO WE STAPLED UNITS,F:UBL,URW.PA,29011974,1974,Equities,Euronext.liffe Paris,France,Euro,Real Estate Investment Trusts,Unibail Rodamco We Stapled Units,Active,1.0
IPSEN,F:IPN,IPN.PA,6122005,2005,Equities,Euronext.liffe Paris,France,Euro,Pharmaceuticals and Biotechnology,Ipsen,Active,1.0
RENAULT,F:RENU,RENA.PA,17111994,1994,Equities,Euronext.liffe Paris,France,Euro,Automobiles and Parts,Renault,Active,1.0
AIR FRANCE-KLM,F:UTA,AIRF.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,Travel and Leisure,Air France-Koninklijke Luchtvaart Maatschappij,Active,1.0
AMER SPORTS,U:AS,AS,1022024,2024,Equities,NYSE,Finland,United States Dollar,Retailers,American Sports,Active,1.0
AMUNDI (WI),F:AMUN,AMUN.PA,11112015,2015,Equities,Euronext.liffe Paris,France,Euro,Investment Banking and Brokerage Services,Amundi (WI),Active,1.0
A P MOLLER MAERSK B,DK:DSB,MAERSKb.CO,1011973,1973,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Industrial Transportation,A P Moller Maersk B,Active,1.0
BAWAG GROUP,O:BWGP,BAWG.VI,25102017,2017,Equities,Vienna Stock Exchange,Austria,Euro,Banks,BAWAG Group,Active,0.0
EURONEXT,F:ENX,ENX.PA,19062014,2014,Equities,Euronext.liffe Paris,France,Euro,Investment Banking and Brokerage Services,Euronext,Active,1.0
VERBUND,O:VERB,VERB.VI,5121988,1988,Equities,Vienna Stock Exchange,Austria,Euro,Electricity,Verbund,Active,0.0
AGEAS (EX-FORTIS),B:AGS,AGES.BR,1011973,1973,Equities,Euronext.liffe Brussels,Belgium,Euro,Life Insurance,Ageas (ex-Fortis),Active,0.0
BOLLORE,F:MATI,BOLL.PA,18041989,1989,Equities,Euronext.liffe Paris,France,Euro,Media,Bollore,Active,1.0
CARLSBERG B,DK:CAB,CARLb.CO,1011973,1973,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Beverages,Carlsberg B,Active,1.0
ELIA GROUP,B:ELI,ELI.BR,20062005,2005,Equities,Euronext.liffe Brussels,Belgium,Euro,Electricity,Elia Group,Active,0.0
SARTORIUS STEDIM BIOTECH,F:DIM,STDM.PA,25101994,1994,Equities,Euronext.liffe Paris,France,Euro,Medical Equipment and Services,Sartorius Stedim Biotechnology,Active,1.0
CARREFOUR,F:CRFR,CARR.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,"Personal Care, Drug and Grocery Stores",Carrefour,Active,1.0
UPM-KYMMENE,M:UPM,UPM.HE,15011991,1991,Equities,Helsinki,Finland,Euro,Industrial Materials,UPM-Kymmene,Active,1.0
