Name,Symbol,RIC,Start Date,Hist.,Category,Exchange,Market,Currency,Sector,Full Name,Activity,
"SIEMENS","D:SIE","SIEGn.F","01.01.1973","1973","Equities","Deutsche Boerse AG","Germany","Euro","General Industrials","Siemens","Active",
"SAP","D:SAP","SAPG.F","03.11.1988","1988","Equities","Deutsche Boerse AG","Germany","Euro","Software and Computer Services","SAP","Active",
"SIEMENS ENERGY N","D:ENR","ENR1n.F","28.09.2020","2020","Equities","Deutsche Boerse AG","Germany","Euro","Alternative Energy","Siemens Energy N","Active",
"ALLIANZ","D:ALV","ALVG.F","01.01.1973","1973","Equities","Deutsche Boerse AG","Germany","Euro","Non-life Insurance","Allianz","Active",
"DEUTSCHE TELEKOM","D:DTE","DTEGn.F","15.11.1996","1996","Equities","Deutsche Boerse AG","Germany","Euro","Telecommunications Service Providers","Deutsche Telekom","Active",
"INFINEON TECHNOLOGIES","D:IFX","IFXGn.F","10.03.2000","2000","Equities","Deutsche Boerse AG","Germany","Euro","Technology Hardware and Equipment","Infineon Technologies","Active",
"MUNCH. RVRS.GESELL. MUNCH.N","D:MUV2","MUVGn.F","01.01.1973","1973","Equities","Deutsche Boerse AG","Germany","Euro","Non-life Insurance","Muenchener RVRS Gesellschaft Muenchener N","Active",
"RHEINMETALL","D:RHM","RHMG.F","01.01.1973","1973","Equities","Deutsche Boerse AG","Germany","Euro","Aerospace and Defense","Rheinmetall","Active",
"BASF","D:BAS","BASFn.F","01.01.1973","1973","Equities","Deutsche Boerse AG","Germany","Euro","Chemicals","BASF","Active",
"DEUTSCHE BANK","D:DBK","DBKGn.F","01.01.1973","1973","Equities","Deutsche Boerse AG","Germany","Euro","Banks","Deutsche Bank","Active",
"DEUTSCHE POST","D:DHL","DHLn.F","17.11.2000","2000","Equities","Deutsche Boerse AG","Germany","Euro","Industrial Transportation","Deutsche Post","Active",
"E ON N","D:EOAN","EONGn.F","01.01.1973","1973","Equities","Deutsche Boerse AG","Germany","Euro","Gas, Water and Multi-utilities","E On N","Active",
"BMW","D:BMW","BMWG.F","01.01.1973","1973","Equities","Deutsche Boerse AG","Germany","Euro","Automobiles and Parts","BMW","Active",
"MERCEDES-BENZ GROUP N","D:MBG","MBGn.F","26.10.1998","1998","Equities","Deutsche Boerse AG","Germany","Euro","Automobiles and Parts","Mercedes-Benz Group N","Active",
"DEUTSCHE BOERSE","D:DB1","DB1Gn.F","02.02.2001","2001","Equities","Deutsche Boerse AG","Germany","Euro","Investment Banking and Brokerage Services","Deutsche Boerse","Active",
"RWE","D:RWE","RWEG.F","01.01.1973","1973","Equities","Deutsche Boerse AG","Germany","Euro","Gas, Water and Multi-utilities","RWE","Active",
"SIEMENS HEALTHINEERS","D:SHL","SHLG.F","15.03.2018","2018","Equities","Deutsche Boerse AG","Germany","Euro","Medical Equipment and Services","Siemens Healthineers","Active",
"VOLKSWAGEN","D:VOW","VOWG.F","01.01.1973","1973","Equities","Deutsche Boerse AG","Germany","Euro","Automobiles and Parts","Volkswagen","Active",
"BAYER","D:BAYN","BAYGn.F","01.01.1973","1973","Equities","Deutsche Boerse AG","Germany","Euro","Pharmaceuticals and Biotechnology","Bayer","Active",
"COMMERZBANK","D:CBK","CBKG.F","01.01.1973","1973","Equities","Deutsche Boerse AG","Germany","Euro","Banks","Commerzbank","Active",
"ADIDAS","D:ADS","ADSGn.F","17.11.1995","1995","Equities","Deutsche Boerse AG","Germany","Euro","Personal Goods","Adidas","Active",
"HOCHTIEF","D:HOT","HOTG.F","01.01.1973","1973","Equities","Deutsche Boerse AG","Germany","Euro","Construction and Materials","Hochtief","Active",
"DAIMLER TRUCK HOLDING E","D:DTG","DTGGe.F","10.12.2021","2021","Equities","Deutsche Boerse AG","Germany","Euro","Industrial Transportation","Daimler Truck Holding E","Active",
"HANNOVER RUECK","D:HNR1","HNRGn.F","30.11.1994","1994","Equities","Deutsche Boerse AG","Germany","Euro","Non-life Insurance","Hannover Rueck","Active",
"HEIDELBERG MATERIALS","D:HEI","HEIG.F","01.01.1973","1973","Equities","Deutsche Boerse AG","Germany","Euro","Construction and Materials","Heidelberg Materials","Active",
"TALANX AKTGSF.","D:TLX","TLXGn.F","01.10.2012","2012","Equities","Deutsche Boerse AG","Germany","Euro","Non-life Insurance","Talanx Aktiengesellschaft","Active",
