Name,Land,ICB_Supersector_INDM3
NESTLE,Schweiz,Food Beverage & Tobacco
ASML HLDG,Niederlande,Technology
NOVO NORDISK B,Dänemark,Health Care
LVMH MOET HENNESSY,Frankreich,Consumer Products & Services
ASTRAZENECA,Großbritannien,Health Care
ROCHE HLDG P,Schweiz,Health Care
NOVARTIS,Schweiz,Health Care
SHELL,Großbritannien,Energy
HSBC,Großbritannien,Banks
TOTALENERGIES,Frankreich,Energy
SAP,Deutschland,Technology
UNILEVER PLC,Großbritannien,Personal Care Drug & Grocery Stores
SIEMENS,Deutschland,Industrial Goods & Services
SANOFI,Frankreich,Health Care
BP,Großbritannien,Energy
L'OREAL,Frankreich,Consumer Products & Services
SCHNEIDER ELECTRIC,Frankreich,Industrial Goods & Services
DIAGEO,Großbritannien,Food Beverage & Tobacco
AIR LIQUIDE,Frankreich,Chemicals
ALLIANZ,Deutschland,Insurance
CIE FINANCIERE RICHEMONT,Schweiz,Consumer Products & Services
AIRBUS,Frankreich,Industrial Goods & Services
HERMES INTERNATIONAL,Frankreich,Consumer Products & Services
IBERDROLA,Spanien,Utilities
DEUTSCHE TELEKOM,Deutschland,Telecommunications
RIO TINTO,Großbritannien,Basic Resources
ZURICH INSURANCE GROUP,Schweiz,Insurance
GSK,Großbritannien,Health Care
VINCI,Frankreich,Construction & Materials
BNP PARIBAS,Frankreich,Banks
BRITISH AMERICAN TOBACCO,Großbritannien,Food Beverage & Tobacco
RELX PLC,Großbritannien,Media
MERCEDES-BENZ GROUP,Deutschland,Automobiles & Parts
ABB,Schweiz,Industrial Goods & Services
UBS GROUP,Schweiz,Financial Services
GLENCORE PLC,Großbritannien,Basic Resources
BCO SANTANDER,Spanien,Banks
SAFRAN,Frankreich,Industrial Goods & Services
ESSILORLUXOTTICA,Frankreich,Health Care
AXA,Frankreich,Insurance
RECKITT BENCKISER GRP,Großbritannien,Personal Care Drug & Grocery Stores
BAYER,Deutschland,Health Care
INFINEON TECHNOLOGIES,Deutschland,Technology
Prosus,Niederlande,Technology
ANHEUSER-BUSCH INBEV,Belgien,Food Beverage & Tobacco
ENEL,Italien,Utilities
MUENCHENER RUECK,Deutschland,Insurance
ING GRP,Niederlande,Banks
COMPASS GRP,Großbritannien,Consumer Products & Services
NATIONAL GRID,Großbritannien,Utilities
ADYEN,Niederlande,Industrial Goods & Services
DEUTSCHE POST,Deutschland,Industrial Goods & Services
LONZA,Schweiz,Health Care
BCO BILBAO VIZCAYA ARGENTARIA,Spanien,Banks
BASF,Deutschland,Chemicals
PERNOD RICARD,Frankreich,Food Beverage & Tobacco
